codigo1;descricao1;codigo2;descricao2;codigo3;descricao3;codigo4;descricao4;est_atend;Un_med;Un_con;Fator;Est_aqui;Capacidade;Ciclo;Velocidade;Acessorios
PRP025;ESPONJAS;BT0063;SUPERPRO;C9471;ESPONJA ABRASIVA PLUS - 12X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9471/5;ESPONJA ABRASIVA PLUS - 24X5;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9471SP;ESPONJA MULTIUSO S/ PELICULA 1X240;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9491SP;ESPONJA LIMPE S/ PELICULA 1X120;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9500;FIBRA LIMP. BETTACO 1X20X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9500/1;FIBRA LIMP BETTACO EMB C/1 1X80;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9500/5;FIBRA LIMP. BETTACO 40X5;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C950010;BETTACO - ROLO - 13.4 CM X 10 MTS;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9500BA;FIBRA LIMP BETTACO 1X20X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9500TA;FIBRA NYLON BETTACO 5X40;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9501;FIBRA LIMP. USO GERAL 130X240 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9501150;FIBRA DE LIMPEZA GERAL;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C950115E;FIBRA LIMPEZA GERAL ROLO 150MX1830MM;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9501E;FIBRA VERDE LIMPEZA GERAL - 1 X 100;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9502;FIBRA LIMP. USO GERAL 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9502/3;FIBRA LIMPEZA GERAL EMB C/3 1X40;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9502/5;FIBRA LIMPEZA USO GERAL - 20X5;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C950210;FIBRA LIMPEZA USO GERAL ROLO;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C950210E;FIBRA LIMPEZA USO GERAL ROLO;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C95022;FIBRA DE LIMPEZA USO GERAL - 1 X 100;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9502BA;FIBRA LIMP USO GERAL 102X260 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9502BA/2;FIBRA LIMP USO GERAL 102X260/2 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9503;FIBRA LIMP. USO LEVE 130X240 1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9503E;FIBRA LIMPEZA USO LEVE -1X10X10;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9504;FIBRA LIMP USO LEVE 102X260 1X10X10;;;;;;1;;;;;
